UID        PID  PPID  C STIME TTY          TIME CMD
cbs0179  13757 13525  0 16:32 ?        00:00:00 sshd: cbs0179@pts/25
cbs0179  13758 13757  0 16:32 pts/25   00:00:00 -bash
gjt0034  13942 13741  0 16:32 ?        00:00:00 sshd: gjt0034@pts/26
gjt0034  13978 13942  0 16:32 pts/26   00:00:00 -bash
root     14198  1213  0 16:32 ?        00:00:00 sshd: gjt0034 [priv]
cbs0179  14258 13507  0 16:32 ?        00:00:00 sshd: cbs0179@notty
cbs0179  14259 14258  0 16:32 ?        00:00:00 /usr/lib/openssh/sftp-server
gjt0034  14318 14198  0 16:32 ?        00:00:00 sshd: gjt0034@pts/28
gjt0034  14319 14318  0 16:32 pts/28   00:00:00 -bash
root     14893     2  0 16:35 ?        00:00:00 [kworker/0:0]
root     15449     2  0 16:36 ?        00:00:00 [kworker/1:2]
gjt0034  15465 14319  0 16:36 pts/28   00:00:00 vim 3530cli.c
cju0012  15495 12446  0 16:37 pts/8    00:00:00 vi server.c
root     15518     2  0 16:37 ?        00:00:00 [kworker/2:1]
joa0040  15555 12656  0 16:38 pts/17   00:00:01 emacs server.c
yak0010  16117  4541  0 16:39 pts/4    00:00:00 script rec03
yak0010  16118 16117  0 16:39 pts/3    00:00:00 bash -i
gjt0034  16282 13978  0 16:41 pts/26   00:00:00 vim 3600Minor4cli.c
root     16427  1213  0 Jan20 ?        00:00:02 sshd: jhd0044 [priv]
jhd0044  16501 16427  0 Jan20 ?        00:00:05 sshd: jhd0044@pts/2
jhd0044  16502 16501  0 Jan20 pts/2    00:00:00 -bash
root     16761     2  0 16:41 ?        00:00:00 [kworker/0:2]
root     17285     2  0 16:42 ?        00:00:00 [kworker/1:1]
root     17592     2  0 Jan28 ?        00:00:00 [kworker/1:1H]
root     17712  1213  0 12:11 ?        00:00:00 sshd: nei0007 [priv]
root     17764  1213  0 16:43 ?        00:00:00 sshd: mb0909 [priv]
nei0007  17771 17712  0 12:11 ?        00:00:00 sshd: nei0007@pts/23
nei0007  17772 17771  0 12:11 pts/23   00:00:00 -bash
root     17778     2  0 16:43 ?        00:00:00 [kworker/2:0]
mb0909   17840 17764  0 16:43 ?        00:00:00 sshd: mb0909@pts/29
mb0909   17841 17840  0 16:43 pts/29   00:00:00 -bash
root     17881  1213  0 16:44 ?        00:00:00 sshd: xy0065 [priv]
xy0065   17950 17881  0 16:44 ?        00:00:00 sshd: xy0065@notty
xy0065   17951 17950  0 16:44 ?        00:00:00 /usr/lib/openssh/sftp-server
root     17969  1213  0 16:44 ?        00:00:00 sshd: xy0065 [priv]
